origin_id,school_id,cci_cost
nta_BK44,school_R080,5890.617196649866
nta_BK44,school_K371,3800.2721989138954
nta_BK44,school_X565,6561.314476849717
nta_BK44,school_Q430,7190.463621087812
nta_BK44,school_M495,5062.447818597888
nta_BK44,school_K423,2945.749216699831
nta_BK44,school_M520,3685.3014423315044
nta_BK44,school_Q248,7071.267764587075
nta_BK44,school_K593,4187.328845342187
nta_BK44,school_X561,6895.421355869798
nta_BK44,school_M442,3514.5602271343078
nta_BK44,school_K572,2661.3280038101902
nta_BK44,school_X547,
nta_BK44,school_K556,4542.22017721364
nta_BK44,school_M412,3993.3527677508478
nta_BK44,school_K322,4292.0436400055105
nta_BK44,school_M531,3799.4897556142573
nta_BK44,school_X440,6350.081007893553
nta_BK44,school_M462,5775.972597173298
nta_BK44,school_K337,2661.3280038101902
nta_BK44,school_K485,3962.5596687148477
nta_BK44,school_X537,6395.0179069422575
nta_BK44,school_K439,3135.367703002397
nta_BK44,school_Q744,5460.323482712362
nta_BK44,school_M726,4574.894547999958
nta_BK44,school_Q314,5347.597353430379
nta_BK44,school_M505,4678.401749388725
nta_BK44,school_K589,3180.579017620208
nta_BK44,school_K635,3053.3336086830677
nta_BK44,school_K544,3160.3134934668697
nta_BK44,school_K647,3129.926008906284
nta_BK44,school_X299,6750.177372590673
nta_BK44,school_X530,5684.151973088816
nta_BK44,school_Q502,4271.475755845188
nta_BK44,school_M449,4436.906079630623
nta_BK44,school_X682,6200.093771260802
nta_BK44,school_X347,6283.800708115843
nta_BK44,school_K486,3491.622368222258
nta_BK44,school_X412,5344.218124169916
nta_BK44,school_X434,6038.177735553148
nta_BK44,school_K610,4717.72140625205
nta_BK44,school_K774,4350.8343132846385
nta_BK44,school_Q004,7230.400403045235
nta_BK44,school_K659,5282.274610544436
nta_BK44,school_M540,4956.316761642752
nta_BK44,school_K673,2862.0985771672413
nta_BK44,school_M305,3342.707544940718
nta_BK44,school_M139,4124.299561374605
nta_BK44,school_X345,6306.700293312063
nta_BK44,school_X452,6895.421355869798
nta_BK44,school_M575,3723.473393651434
nta_BK44,school_M533,3523.457963834369
nta_BK44,school_M394,3224.8445947584823
nta_BK44,school_X176,7417.1522577240985
nta_BK44,school_X445,6350.081007893553
nta_BK44,school_Q258,4710.460485270827
nta_BK44,school_M494,4556.871981275443
nta_BK44,school_K566,2298.4912097169786
nta_BK44,school_K404,3537.789629079818
nta_BK44,school_K488,4587.671862820391
nta_BK44,school_K477,4969.148466781855
nta_BK44,school_X553,
nta_BK44,school_M542,4504.00333398223
nta_BK44,school_X293,6500.760930820017
nta_BK44,school_X548,
nta_BK44,school_X511,6046.274706667886
nta_BK44,school_M393,4124.299561374605
nta_BK44,school_K395,3808.678360528699
nta_BK44,school_X508,6750.177372590673
nta_BK44,school_M539,4234.277919587608
nta_BK44,school_M303,4504.00333398223
nta_BK44,school_M226,3899.439368988835
nta_BK44,school_M550,3915.9009839136793
nta_BK44,school_K594,3943.4332105761387
nta_BK44,school_M169,4685.4026943563085
nta_BK44,school_K656,3119.8689023846096
nta_BK44,school_Q455,5067.461612107328
nta_BK44,school_Q308,4567.622766155551
nta_BK44,school_M438,3523.457963834369
