source,target,type,shape_id,weight
sub_210S,sub_211S,transit_travel,sub_5..S09R,120.0
sub_210S,sub_211S,transit_travel,sub_5..S11R,120.0
sub_210S,sub_211S,transit_travel,sub_5..S15R,120.0
sub_210S,sub_211S,transit_travel,sub_nan,120.0
sub_211N,sub_210N,transit_travel,sub_2..N01R,120.0
sub_211S,sub_212S,transit_travel,sub_2..S01R,120.0
sub_211S,sub_212S,transit_travel,sub_2..S03R,120.0
sub_211S,sub_212S,transit_travel,sub_5..S09R,145.0
sub_211S,sub_212S,transit_travel,sub_5..S11R,150.0
sub_211S,sub_212S,transit_travel,sub_5..S15R,150.0
sub_211S,sub_212S,transit_travel,sub_nan,150.0
sub_212N,sub_211N,transit_travel,sub_2..N01R,120.0
sub_212S,sub_213S,transit_travel,sub_2..S01R,120.0
sub_212S,sub_213S,transit_travel,sub_2..S03R,120.0
sub_212S,sub_213S,transit_travel,sub_5..S09R,120.0
sub_212S,sub_213S,transit_travel,sub_5..S11R,120.0
sub_212S,sub_213S,transit_travel,sub_5..S15R,120.0
sub_212S,sub_213S,transit_travel,sub_nan,120.0
sub_213N,sub_212N,transit_travel,sub_2..N01R,120.0
sub_213N,sub_505N,transit_travel,sub_nan,210.0
sub_213S,sub_214S,transit_travel,sub_2..S01R,90.0
sub_213S,sub_214S,transit_travel,sub_2..S03R,90.0
sub_213S,sub_214S,transit_travel,sub_5..S03R,90.0
sub_213S,sub_214S,transit_travel,sub_5..S12R,90.0
sub_213S,sub_214S,transit_travel,sub_nan,118.63636363636364
sub_213S,sub_221S,transit_travel,sub_5..S04R,677.5
sub_213S,sub_221S,transit_travel,sub_5..S06R,690.0
sub_213S,sub_221S,transit_travel,sub_5..S09R,680.0
sub_213S,sub_221S,transit_travel,sub_5..S11R,690.0
sub_213S,sub_221S,transit_travel,sub_5..S14R,690.0
sub_213S,sub_221S,transit_travel,sub_5..S15R,690.0
sub_214N,sub_213N,transit_travel,sub_2..N01R,90.0
sub_214N,sub_213N,transit_travel,sub_5..N24R,90.0
sub_214N,sub_213N,transit_travel,sub_nan,90.0
sub_214S,sub_215S,transit_travel,sub_2..S01R,120.0
sub_214S,sub_215S,transit_travel,sub_2..S03R,120.0
sub_214S,sub_215S,transit_travel,sub_5..S03R,120.0
sub_214S,sub_215S,transit_travel,sub_5..S12R,120.0
